,date,avg_block_size,transactions,mining_revenue,accounts
0,2016-01-01,0.554078461,176447,1467328.02,5163651
1,2016-01-02,0.579743724,149038,1671419.658,5454997
2,2016-01-03,0.579743724,149038,1604631.24,5454997
3,2016-01-04,0.579743724,149038,1906932,5454997
4,2016-01-05,0.641778949,182371,1819807.57,5454997
5,2016-01-06,0.641778949,182371,1477472.5,5454997
6,2016-01-07,0.641778949,182371,1648782.14,5454997
7,2016-01-08,0.583649358,181407,2195603.804,5454997
8,2016-01-09,0.583649358,181407,1802400.6,5454997
9,2016-01-10,0.583649358,181407,1909014.72,5454997
10,2016-01-11,0.656381006,191196,2152938.818,5454997
11,2016-01-12,0.656381006,191196,1980490.44,5454997
12,2016-01-13,0.656381006,191196,1657710.63,5454997
13,2016-01-14,0.718566368,183182,1487692.379,5454997
14,2016-01-15,0.718566368,183182,1217938.2,5454997
15,2016-01-16,0.718566368,183182,1300104,5454997
16,2016-01-17,0.754065848,204128,1525313.773,5454997
17,2016-01-18,0.754065848,204128,1700240.64,5454997
18,2016-01-19,0.754065848,204128,1425654.9,5454997
19,2016-01-20,0.862095007,209071,1619573.123,5454997
20,2016-01-21,0.862095007,209071,1384752,5454997
21,2016-01-22,0.862095007,209071,1610297.5,5454997
22,2016-01-23,0.571501564,190400,1812144.661,5454997
23,2016-01-24,0.571501564,190400,1694688.25,5454997
24,2016-01-25,0.571501564,190400,1691196.21,5811068
25,2016-01-26,0.742775688,230523,1707435.989,5811068
26,2016-01-27,0.742775688,230523,1537171.65,5811068
27,2016-01-28,0.742775688,230523,1434150,5811068
28,2016-01-29,0.686997456,224394,1750044.211,5811068
29,2016-01-30,0.686997456,224394,1689976.32,5811068
30,2016-01-31,0.686997456,224394,1698131.16,5811068
31,2016-02-01,0.776969547,222398,1613765.198,5811068
32,2016-02-02,0.776969547,222398,1552556.36,5811068
33,2016-02-03,0.776969547,222398,1620135.24,5811068
34,2016-02-04,0.657826815,200661,1768733.96,5811068
35,2016-02-05,0.657826815,200661,1755051.09,5811068
36,2016-02-06,0.657826815,200661,1796933.68,5811068
37,2016-02-07,0.700184903,212190,1802661.611,5811068
38,2016-02-08,0.700184903,212190,1527627,5811068
39,2016-02-09,0.700184903,212190,1589926.87,5811068
40,2016-02-10,0.738433415,235527,1609224.847,5811068
41,2016-02-11,0.738433415,235527,1824977,5811068
42,2016-02-12,0.738433415,235527,1531180.44,5811068
43,2016-02-13,0.630542974,184675,1784279.986,5811068
44,2016-02-14,0.630542974,184675,1824390.92,5811068
45,2016-02-15,0.630542974,184675,1505873.6,5811068
46,2016-02-16,0.760435275,215940,1487411.488,5811068
47,2016-02-17,0.760435275,215940,1481533.76,6083614
48,2016-02-18,0.760435275,215940,1902961.74,6083614
49,2016-02-19,0.767116041,217436,1602889.463,6083614
50,2016-02-20,0.767116041,217436,1754843.64,6083614
51,2016-02-21,0.767116041,217436,1386597.3,6083614
52,2016-02-22,0.898240102,237696,1478179.558,6083614
53,2016-02-23,0.898240102,237696,1427391,6083614
54,2016-02-24,0.898240102,237696,1319648.9,6083614
55,2016-02-25,0.799025129,216290,1682349.251,6083614
56,2016-02-26,0.799025129,216290,1609521.62,6083614
57,2016-02-27,0.799025129,216290,1431216,6083614
58,2016-02-28,0.776566687,233436,1607228.491,6083614
59,2016-02-29,0.776566687,233436,1495225.04,6083614
60,2016-03-01,0.776566687,233436,1405736.85,6083614
61,2016-03-02,0.900280408,270206,1732093.707,6083614
62,2016-03-03,0.900280408,270206,1431631.68,6083614
63,2016-03-04,0.900280408,270206,1604280.96,6083614
64,2016-03-05,0.7800372,234992,1560093.319,6083614
65,2016-03-06,0.7800372,234992,1437551.76,6083614
66,2016-03-07,0.7800372,234992,1614392.86,6083614
67,2016-03-08,0.680366714,200298,1624142.062,6083614
68,2016-03-09,0.680366714,200298,1725518.7,6083614
69,2016-03-10,0.680366714,200298,1692288,6083614
70,2016-03-11,0.614320875,189816,1698526.226,6364167
71,2016-03-12,0.614320875,189816,1362701.76,6364167
72,2016-03-13,0.614320875,189816,1580232.02,6364167
73,2016-03-14,0.726220454,191341,1591449.546,6364167
74,2016-03-15,0.726220454,191341,1593584.76,6364167
75,2016-03-16,0.726220454,191341,1787925.02,6364167
76,2016-03-17,0.746761901,208319,1535746.082,6364167
77,2016-03-18,0.746761901,208319,1427774.04,6364167
78,2016-03-19,0.746761901,208319,1384278.67,6364167
79,2016-03-20,0.660703411,178143,1573282.94,6364167
80,2016-03-21,0.660703411,178143,1308642.12,6364167
81,2016-03-22,0.660703411,178143,1565038.8,6364167
82,2016-03-23,0.674793503,186808,1633014.908,6364167
83,2016-03-24,0.674793503,186808,1588000.11,6364167
84,2016-03-25,0.674793503,186808,1523337.52,6364167
85,2016-03-26,0.625294444,159049,1627195.005,6364167
86,2016-03-27,0.625294444,159049,1646594.4,6364167
87,2016-03-28,0.625294444,159049,1519272.32,6364167
88,2016-03-29,0.836449363,197409,1685402.34,6364167
89,2016-03-30,0.836449363,197409,1660945.8,6364167
90,2016-03-31,0.836449363,197409,1321282.86,6364167
91,2016-04-01,0.768427026,211922,1653575.355,6364167
92,2016-04-02,0.768427026,211922,1591174.42,6364167
93,2016-04-03,0.768427026,211922,1554802.33,6688655
94,2016-04-04,0.669686349,208929,1864182.283,6688655
95,2016-04-05,0.669686349,208929,1591759.98,6688655
96,2016-04-06,0.669686349,208929,1650251.71,6688655
97,2016-04-07,0.758243129,218463,1524704.236,6688655
98,2016-04-08,0.758243129,218463,1506409.6,6688655
99,2016-04-09,0.758243129,218463,1707680.24,6688655
100,2016-04-10,0.553299503,186954,1849714.707,6688655
101,2016-04-11,0.553299503,186954,1607456.49,6688655
102,2016-04-12,0.553299503,186954,1639676.5,6688655
103,2016-04-13,0.707264951,223506,1760973.818,6688655
104,2016-04-14,0.707264951,223506,1767502.96,6688655
105,2016-04-15,0.707264951,223506,1574760.3,6688655
106,2016-04-16,0.67473171,182004,1502139.353,6688655
107,2016-04-17,0.67473171,182004,1642389.18,6688655
108,2016-04-18,0.67473171,182004,1460870.32,6688655
109,2016-04-19,0.749866667,226511,1696206.854,6688655
110,2016-04-20,0.749866667,226511,1843768.255,6688655
111,2016-04-21,0.749866667,226511,1721837.362,6688655
112,2016-04-22,0.774912098,210976,1780084.416,6688655
113,2016-04-23,0.774912098,210976,1639604.701,6688655
114,2016-04-24,0.774912098,210976,1531303.62,6688655
115,2016-04-25,0.874485094,217564,1511285.527,6688655
116,2016-04-26,0.874485094,217564,1924687.353,6968497
117,2016-04-27,0.874485094,217564,1463200.885,6968497
118,2016-04-28,0.897479756,247957,1546945.81,6968497
119,2016-04-29,0.897479756,247957,1824603.319,6968497
120,2016-04-30,0.897479756,247957,1650450.466,6968497
121,2016-05-01,0.6257176,191430,1871929.739,6968497
122,2016-05-02,0.6257176,191430,1762341.417,6968497
123,2016-05-03,0.6257176,191430,1722607.801,6968497
124,2016-05-04,0.707049455,233691,2071544.221,6968497
125,2016-05-05,0.707049455,233691,1769132.628,6968497
126,2016-05-06,0.707049455,233691,1887205.007,6968497
127,2016-05-07,0.646522553,202062,1740688.074,6968497
128,2016-05-08,0.646522553,202062,1881265.308,6968497
129,2016-05-09,0.646522553,202062,2015490.719,6968497
130,2016-05-10,0.726908981,245721,1822228.269,6968497
131,2016-05-11,0.726908981,245721,1525359.473,6968497
132,2016-05-12,0.726908981,245721,1601340.812,6968497
133,2016-05-13,0.762693901,232146,1841534.814,6968497
134,2016-05-14,0.762693901,232146,1662212.65,6968497
135,2016-05-15,0.762693901,232146,1609202.062,6968497
136,2016-05-16,0.906763574,239809,1636434.03,6968497
137,2016-05-17,0.906763574,239809,1622904.537,6968497
138,2016-05-18,0.906763574,239809,1770178.43,6968497
139,2016-05-19,0.955482475,219145,1415299.104,7286044
140,2016-05-20,0.955482475,219145,1666418.673,7286044
141,2016-05-21,0.955482475,219145,1589937.028,7286044
142,2016-05-22,0.603581788,184348,2084432.932,7286044
143,2016-05-23,0.603581788,184348,2025077.241,7286044
144,2016-05-24,0.603581788,184348,1663136.19,7286044
145,2016-05-25,0.870538464,247841,1612802.549,7286044
146,2016-05-26,0.870538464,247841,1575322.68,7286044
147,2016-05-27,0.870538464,247841,1667597.593,7286044
148,2016-05-28,0.863364752,193054,1698374.905,7286044
149,2016-05-29,0.863364752,193054,1906764.237,7286044
150,2016-05-30,0.863364752,193054,1934163.223,7286044
151,2016-05-31,0.867019984,215249,1778686.464,7286044
152,2016-06-01,0.867019984,215249,1972575.77,7286044
153,2016-06-02,0.867019984,215249,1894573.921,7286044
154,2016-06-03,0.832558444,234669,2039808.397,7286044
155,2016-06-04,0.832558444,234669,1733523.116,7286044
156,2016-06-05,0.832558444,234669,2479401.39,7286044
157,2016-06-06,0.7054571,221171,2559529.58,7286044
158,2016-06-07,0.7054571,221171,2169535.062,7286044
159,2016-06-08,0.7054571,221171,2112419.154,7286044
160,2016-06-09,0.720621091,236353,2457044.37,7286044
161,2016-06-10,0.720621091,236353,2116658.575,7286044
162,2016-06-11,0.720621091,236353,2364669.104,7579535
163,2016-06-12,0.830047534,210711,2439077.775,7579535
164,2016-06-13,0.830047534,210711,2830943.5,7579535
165,2016-06-14,0.830047534,210711,2277298.22,7579535
166,2016-06-15,0.917150355,259202,2663305.4,7579535
167,2016-06-16,0.917150355,259202,2863856.69,7579535
168,2016-06-17,0.917150355,259202,2779037.6,7579535
169,2016-06-18,0.867727899,235317,3023654.813,7579535
170,2016-06-19,0.867727899,235317,3392968.32,7579535
171,2016-06-20,0.867727899,235317,3057429,7579535
172,2016-06-21,0.914910007,248164,2775119.945,7579535
173,2016-06-22,0.914910007,248164,1909240,7579535
174,2016-06-23,0.914910007,248164,2193393.94,7579535
175,2016-06-24,0.942676705,237625,2182850.426,7579535
176,2016-06-25,0.942676705,237625,2760622.54,7579535
177,2016-06-26,0.942676705,237625,2297205.75,7579535
178,2016-06-27,0.777207469,217029,2391834.817,7579535
179,2016-06-28,0.777207469,217029,2418860.27,7579535
180,2016-06-29,0.777207469,217029,2340735.09,7579535
181,2016-06-30,0.79751048,231960,2633620.986,7579535
182,2016-07-01,0.79751048,231960,2649743.25,7579535
183,2016-07-02,0.79751048,231960,2625265.08,7579535
184,2016-07-03,0.614648812,177127,2740471.376,7579535
185,2016-07-04,0.614648812,177127,2555599.5,7835149
186,2016-07-05,0.614648812,177127,2420500.04,7835149
187,2016-07-06,0.797548,214691,2396656.071,7835149
